제목,index
목적,2
정의,3
국가와 지방자치단체의 책무,4
소방기관의 설치 등,5
소방공무원의 배치,6
다른 법률과의 관계,7
119종합상황실의 설치와 운영,8
소방기술민원센터의 설치ㆍ운영,9
소방박물관 등의 설립과 운영,10
소방업무에 관한 종합계획의 수립ㆍ시행 등,11
소방의 날 제정과 운영 등,12
소방력의 기준 등,14
소방장비 등에 대한 국고보조,15
소방용수시설의 설치 및 관리 등,16
소방업무의 응원,17
소방력의 동원,18
소방활동,25
소방지원활동,26
생활안전활동,27
소방자동차의 보험 가입 등,28
소방활동에 대한 면책,29
소송지원,30
소방교육ㆍ훈련,31
소방안전교육사,32
소방안전교육사의 결격사유,33
부정행위자에 대한 조치,34
소방안전교육사의 배치,35
한국119청소년단,36
소방신호,37
화재 등의 통지,38
관계인의 소방활동 등,39
자체소방대의 설치ㆍ운영 등,40
소방자동차의 우선 통행 등,41
소방자동차 전용구역 등,42
소방자동차 교통안전 분석 시스템 구축ㆍ운영,43
소방대의 긴급통행,44
소방활동구역의 설정,45
소방활동 종사 명령,46
강제처분 등,47
피난 명령,48
위험시설 등에 대한 긴급조치,49
방해행위의 제지 등,50
소방용수시설 또는 비상소화장치의 사용금지 등,51
구조대 및 구급대의 편성과 운영,59
의용소방대의 설치 및 운영,63
국가의 책무,68
소방산업과 관련된 기술개발 등의 지원,70
소방기술의 연구ㆍ개발사업 수행,71
소방기술 및 소방산업의 국제화사업,72
한국소방안전원의 설립 등,74
교육계획의 수립 및 평가 등,75
안전원의 업무,76
회원의 관리,77
안전원의 정관,78
안전원의 운영 경비,79
안전원의 임원,80
유사명칭의 사용금지,81
감독,86
권한의 위임,87
손실보상,88
벌칙 적용에서 공무원 의제,89
벌칙,91
벌칙,92
벌칙,93
벌칙,95
「형법」상 감경규정에 관한 특례,96
양벌규정,97
과태료,98
과태료,99
