제목,index
목적,2
정의,3
소방시설공사등 관련 주체의 책무,4
다른 법률과의 관계,5
소방시설업의 등록,7
등록의 결격사유,8
등록사항의 변경신고,9
휴업ㆍ폐업 신고 등,10
소방시설업자의 지위승계,11
소방시설업의 운영,12
등록취소와 영업정지 등,13
과징금처분,14
설계,17
시공,19
착공신고,20
완공검사,21
공사의 하자보수 등,22
감리,24
공사감리자의 지정 등,25
감리원의 배치 등,26
위반사항에 대한 조치,27
공사감리 결과의 통보 등,28
방염,30
방염처리능력 평가 및 공시,31
소방시설공사등의 도급,33
임금에 대한 압류의 금지,34
도급의 원칙 등,35
공사대금의 지급보증 등,36
하도급의 제한,37
하도급계약의 적정성 심사 등,38
하도급대금의 지급 등,39
하도급계약 자료의 공개,40
도급계약의 해지,41
공사업자의 감리 제한,42
소방 기술용역의 대가 기준,43
시공능력 평가 및 공시,44
설계ㆍ감리업자의 선정,45
소방시설업 종합정보시스템의 구축 등,46
소방기술자의 의무,48
소방기술 경력 등의 인정 등,49
소방기술자 양성 및 교육 등,50
소방기술자의 실무교육,51
소방시설업자협회의 설립,54
협회의 업무,55
「민법」의 준용,56
감독,58
청문,59
권한의 위임ㆍ위탁 등,60
수수료 등,61
벌칙 적용 시의 공무원 의제,62
벌칙,64
벌칙,65
벌칙,66
벌칙,67
양벌규정,68
과태료,69
