제목,index
목적,2
정의,3
다른 법률과의 관계,4
소방장비관리 기본계획의 수립,6
시ㆍ도 소방장비관리계획의 수립,7
소방장비관리를 위한 재원의 확충,8
실태조사,9
분류,11
소방장비의 목록화,12
소방장비의 표준화,13
소방장비의 도장 및 표지,14
소방장비의 인증,16
소방장비 인증의 취소,17
인증기관의 지정 등,18
인증의 면제,19
인증의 표시 등,20
과징금,21
소방장비의 구매,23
소방장비의 규격 및 특정규격 등,24
소방장비 선정 요청 등,25
소방장비의 검사 및 검수,26
소방장비관리 공무원의 의무,28
소방장비의 보유기준 등,29
소방장비의 관리전환 등,30
소방장비의 재고관리,31
소방장비의 관리기록,32
소방장비의 내용연수,33
망실ㆍ훼손된 소방장비의 처리,34
소방장비의 운용,36
소방장비운용자의 교육ㆍ훈련 등,37
소방장비의 보관,38
소방회전익항공기의 운영 협력 등,39
소방장비의 점검 등,41
고장 등의 발생 보고 및 조사,42
소방장비의 정비,43
소방장비정비센터의 지정 등,44
소방장비의 반납,46
소방장비의 불용 결정 등,47
소방장비의 폐기,48
소방장비 통합관리시스템의 구축,50
피해보상을 위한 보험의 가입 등,51
수수료,52
청문,53
권한의 위임ㆍ위탁 등,54
벌칙 적용에서 공무원 의제,55
벌칙,57
양벌규정,58
과태료,59
