제목,index
목적,2
정의,3
심판원의 설치,4
해양사고의 원인규명 등,5
재결,6
시정 등의 요청,7
징계의 종류와 감면,8
징계의 집행유예,9
직무교육의 이수명령,10
집행유예의 실효,11
집행유예의 효과,12
일사부재리,13
공소 제기 전 심판원의 의견청취,14
심판정에서의 용어,15
심판원의 조직,17
중앙심판원장 및 지방심판원장,18
심판관의 임명 및 자격,19
결격사유,20
심판원장 및 심판관의 직무,21
심판직무의 독립,22
심판관의 신분 및 임기,23
심판관의 전보,24
비상임심판관,25
심판관ㆍ비상임심판관의 제척ㆍ기피ㆍ회피,26
조사관 등,27
조사관의 자격,28
조사관의 직무,29
조사사무에 관한 지휘ㆍ감독,30
조사관 직무의 위임ㆍ이전 및 승계,31
특별조사부의 구성,32
조사관 일반사무의 지휘ㆍ감독,33
심판관 및 조사관 등의 연수교육,35
심급,36
심판부의 구성 및 의결,37
특별심판부의 구성,38
심판부의 직원,39
관할,41
사건 이송,42
관할 이전의 신청,43
심판변론인의 선임,45
심판변론인의 자격과 등록,46
심판변론인의 결격사유,47
심판변론인의 업무 등,48
심판변론인의 등록의 취소,49
국선 심판변론인의 선정,50
심판변론인협회,51
사업,52
설립절차 등,53
「민법」의 준용,54
해양수산관서 등의 의무,56
준해양사고의 통보,57
영사의 임무,58
사실조사의 요구,59
해양사고의 조사 및 처리,60
증거보전,61
비밀준수의무,62
조사관의 권한,63
심판의 청구,64
약식심판의 청구,65
해양사고관련자의 지정과 통지,66
이해관계인의 심판신청,67
심판의 시작,69
심판의 공개,70
원격영상심판,71
약식심판 절차,72
심판장의 권한,73
심판기일의 지정 및 변경,74
집중심리,75
소환과 신문,76
이해관계인의 심판참여,77
"심판정에서의 속기, 녹음ㆍ영상녹화",78
관계 서류 및 증거물의 열람ㆍ복사,79
필요적 구술변론,80
인정신문,81
조사관의 최초 진술,82
증거조사,83
증거자료의 한글사용,84
선서,85
심판청구서의 변경 등,86
심판청구의 취하,87
증거심판주의,88
자유심증주의,89
심판청구기각의 재결,90
재결이유의 표시,91
본안의 재결,92
재결의 고지,93
재결서의 송달,94
송달의 방식,95
법령에의 위임,96
제2심의 청구,98
제2심의 청구기간,99
제2심 청구의 효력,100
제2심 청구의 취하,101
법령위반으로 인한 청구의 기각,102
사건의 환송,103
지방심판원의 청구기각 사유로 인한 청구의 기각,104
본안의 재결,105
불이익변경의 금지,106
준용규정,107
결정에 대한 이의신청,109
이의신청의 절차,110
이의신청과 관계 서류 및 증거물,111
원심결정의 집행정지,112
이의신청에 대한 결정,113
지방심판원에 대한 결정의 통지,114
위임규정,115
관할과 제소기간 및 그 제한,117
피고,118
재판,120
재결의 집행시기,122
재결의 집행자,123
면허취소 재결의 집행,124
업무정지 재결의 집행,125
징계의 실효,126
면허증의 무효선언과 고시,127
재결의 공고,128
재결 등의 이행,129
증인 등의 수당지급,131
불이익한 처우 등의 금지,132
비상임심판관 등의 수당,133
행정심판 등의 제한,134
수수료,135
벌칙 적용 시의 공무원 의제,136
해양사고정보시스템의 구축ㆍ운영,137
벌칙,139
과태료,140
