year,region,apple,grape,peach,watermelon,orientalmelon,strawberry
2015,서울,0,16,0,0,0,0
2015,세종,0,1144,0,0,0,0
2015,강원,4472,5896,5626,9181,21,476
2015,대전,51,2186,198,0,27,181
2015,충남,24560,14818,6165,228169,280,58281
2015,충북,69242,19221,50255,68185,3326,2735
2015,인천,0,1889,153,312,266,24
2015,경기,2740,32252,9722,8010,2339,3494
2015,광주,0,439,307,620,0,2377
2015,전남,5320,3626,6026,26453,364,18466
2015,전북,34688,14506,11714,91560,861,22579
2015,부산,27,45,0,0,0,0
2015,경남,67491,5013,5194,109564,1847,67762
2015,울산,80,30,98,39,0,0
2015,제주,0,103,0,10197,481,2711
2015,대구,1548,1177,3119,3002,10169,110
2015,경북,372627,146564,139134,79060,141119,15317
2016,서울,0,16,0,0,0,0
2016,세종,19,921,6629,3412,27,633
2016,강원,5550,3487,5726,8853,882,1018
2016,대전,199,1904,608,0,0,0
2016,충남,29343,8259,4565,151058,1218,33498
2016,충북,66661,15541,63871,102782,350,3086
2016,인천,21,1472,126,667,214,659
2016,경기,1762,29462,15536,4979,1555,4356
2016,광주,0,397,546,,0,1262
2016,전남,7621,3952,8233,29130,833,25594
2016,전북,40694,10816,17190,81194,250,22416
2016,부산,13,13,3,0,0,0
2016,경남,53782,4081,5111,116399,1540,85110
2016,울산,327,28,200,41,42,271
2016,제주,1,92,33,5587,306,2542
2016,대구,1322,1222,3906,5418,9367,177
2016,경북,338034,108602,154775,58484,140502,10596
2017,서울,0,14,2,4,12,2
2017,세종,19,826,6578,6401,730,957
2017,강원,5550,2663,4009,11928,552,1460
2017,대전,199,2148,510,0,4,63
2017,충남,29343,8797,4057,89142,527,32088
2017,충북,66661,15241,51624,104542,50,2669
2017,인천,21,2252,54,577,289,1253
2017,경기,1762,26512,14515,4124,1552,4048
2017,광주,0,350,502,1863,42,2901
2017,전남,7621,3549,4861,25983,551,24329
2017,전북,40694,12429,14054,70843,166,19589
2017,부산,13,9,49,126,11,1
2017,경남,53782,4055,3941,107096,1351,105018
2017,울산,327,27,146,38,46,324
2017,제주,1,80,24,4220,305,1893
2017,대구,1322,607,3351,11607,4471,40
2017,경북,338034,95840,114007,67977,155622,12064
2018,서울,0,14,2,2,2,0
2018,세종,157,826,4876,3741,33,557
2018,강원,5506,2663,3861,10087,429,889
2018,대전,153,2148,555,174,19,0
2018,충남,17878,8797,3805,95588,690,34732
2018,충북,51580,15241,50690,118331,313,3925
2018,인천,50,2252,58,186,200,792
2018,경기,992,26512,9309,3511,1834,3355
2018,광주,21,350,712,1519,74,1809
2018,전남,3984,3549,4364,21374,728,26361
2018,전북,28597,12429,13296,70922,516,17508
2018,부산,15,9,58,88,4,8
2018,경남,50461,4055,3862,79862,581,82400
2018,울산,167,27,148,166,29,393
2018,제주,1,80,21,7331,245,1082
2018,대구,509,607,2579,10104,7129,0
2018,경북,315230,95840,108693,53649,117702,9828
