region,year,Cd,Cu,As,Hg,Pb,Cr6+,Zn,Ni,F,P,PCB,CN,PHENOL,BTEX,BENZEN,toluene,ethlbenzene,C6H4,TPH,TCE,PCE,benzopyrene,12-DCA,hydrogen ionpH,grade
서울경기,2015,0.156,103.886,6.357,0.176,153.694,0.018,162.942,24.952,202.824,0.002,0,0,0.029,,0.025,0.135,0.121,0.476,122.813,0.01,0,0.018,,8.2,1지역
서울경기,2016,0.302,63.759,9.233,0.135,54.815,0.007,146.227,23.993,169.198,0.001,0,0,0.033,0,0.128,7.968,1.927,10.735,93.52,0.001,0.001,0.063,,7.976,1지역
서울경기,2017,0.256,40.69,7.079,0.101,42.667,0,153.057,23.96,206.031,0,0,0,0.017,,0.01,0.013,0.023,0.074,101.197,0,0,0.014,,8.264,1지역
서울경기,2018,0.247,37.286,5.966,0.093,33.754,0.091,123.111,22.614,276.937,0,0,0.008,0.022,,0.004,0.005,0.005,0.015,64.388,0.001,0.003,0.011,,8.226,1지역
서울경기,2019,0.295,55.591,6.147,0.105,47.796,0.02,117.39,21.637,175.643,0,0,0.011,0.025,,0,0.012,0.058,0.093,96.461,0.022,0.003,0.019,0.005,8.164,1지역
서울경기,2020,0.307,58.286,5.483,0.122,37.115,0.054,130.939,21.121,173.178,0,0.004,0,0.028,,0,0.009,0.002,0.006,103.195,0.011,0,0.013,0,8.509,1지역
부산,2015,1.937,35.985,6.709,0.082,96.691,0.136,188.705,12.544,248.209,0,0,0.018,0,,0,0,0,0,232.435,0,0,0,,8,1지역
부산,2016,1.801,43.294,7.658,0.285,60.866,0.098,260.893,15.409,206.25,0,0,0.168,0,0,0.035,0.102,0.031,0.129,315.667,0,0,0.051,,7.867,1지역
부산,2017,0.296,33.542,6.4,0.07,111.64,0.179,192.194,11.18,266.857,0,0,0.002,0,,0,0.002,0,0.008,240.77,0,0,0.212,,7.97,1지역
부산,2018,0.88,41.998,6.641,0.033,65.056,0.539,274.695,12.987,276.872,0,0,0.013,0,,0,0,0.001,0.005,452.776,0,0,0,,8.059,1지역
부산,2019,1.565,39.98,8.262,0.062,52.81,0.009,180.642,11.637,261.625,0,0.003,5.378,0,,0.001,0.003,0.003,0.013,423.39,0,0,0.019,0,7.916,2지역(시안초과)
부산,2020,1.487,30.168,8.618,0.039,46.992,0.049,159.444,10.414,234.438,0,0,0.034,0,,0,0.005,0.019,0.034,230.378,0,0,0.013,0,7.924,1지역
대구,2015,2.4,24.065,3.399,0.037,27.391,0.322,85.421,14.984,,,,0,,,,,,,128,,,0.096,,7.1,1지역
대구,2016,2.874,25.56,5.3,0.038,24.177,0.319,92.917,12.433,,,,0,,0,,,,,0,,,,,6.991,1지역
대구,2017,1.545,23.177,4.223,0.04,25.903,0.121,102.733,12.574,0,0,0,0,0,,0,0,0,0,0,0,0,0,,7.046,1지역
대구,2018,0.952,14.422,2.82,0.027,16.422,0.401,62.688,9.962,,,,0.092,,,,,,,,,,,,7.101,1지역
대구,2019,0.137,14.822,3.776,0.027,15.823,0.208,54.923,8.314,,,,0,,,,,,,,,,,0,7.069,1지역
대구,2020,0.055,15.62,2.47,0.037,17.203,0.08,63.722,9.306,,,,0,,,,,,,,,,,,7.075,1지역
인천,2015,0.649,93.892,6.539,0.08,86.664,0.178,249.662,55.275,277.298,0,0,0.005,0,,0,0.21,0.01,0.314,253.882,0,0,0.046,,7,1지역
인천,2016,0.063,46.787,6.528,0.022,50.079,0.042,242.547,25.541,250.033,0,0,0,0.039,0,0,0,0,0,90.391,0,0,0,,7.053,1지역
인천,2017,0.112,50.11,7.113,0.064,48.203,0,191.496,22.011,248.554,0,0,0.002,0.01,,0,0,0,0,88.582,0,0,,,6.868,1지역
인천,2018,0.275,58.91,4.677,0.052,64.079,0,203.128,22.997,227.491,0,0,0,0,,0,0,0,0.006,101.549,0,0,0.385,,7.319,1지역
인천,2019,0.383,113.597,6.401,0.117,79.091,0.074,322.704,25.048,243.016,0,0,0,0,,0,0,0,0.003,125.227,0,0,0,0,7.159,1지역
인천,2020,0.301,52.711,5.777,0.051,47.883,0.006,202.543,24.446,223.739,0,0,0,0,,0,0.004,0,0,77.596,0,0.004,0.003,0,7.142,1지역
광주,2015,0.033,16.693,1.725,0.018,25.992,0,123.991,14.421,218.5,0,0,0,0,,0,0.028,0.023,0.05,58.717,0,0,,,6.7,1지역
광주,2016,0.351,18.846,2.032,0.124,23.922,0,111.043,8.089,202.964,0,0,0,0,0,0,0.507,0.015,0.131,95.545,0,0,0,,6.922,1지역
광주,2017,0.973,17.082,0.342,0.042,26.265,0,97.495,8.219,137.182,0,0,0,0,,0,0,0,0,58.348,0,0,0,,7.036,1지역
광주,2018,2.322,30.367,0.239,0.039,29.985,0,157.593,11.516,243.905,0,0,0,0,,0,0.001,0.004,0.012,30.295,0,0,0,,6.613,1지역
광주,2019,2.423,11.409,0,0.025,19.676,0.205,90.775,6.617,164.523,0,0,0,0,,0,0,0.012,0.026,75.5,0,0,0.023,0,6.004,1지역
광주,2020,2.828,11.256,0,0.019,16.632,0.024,105.577,7.226,268.362,0,0,0,0,,0,0,0,0,66.508,0,0,0,0,5.72,1지역
대전,2015,0,23.826,3.044,0.001,30.474,0.031,95.31,7.562,256.71,0,0,0,0,,0,0,0,0,0,0,0,0,,6.7,1지역
대전,2016,0.445,41.713,2.113,0.016,43.793,0.033,137.204,23.604,203.071,0,0,0.005,0,0,0,0,0.002,0,4.143,0,0,0.004,,7.036,1지역
대전,2017,0.239,27.763,5.363,0.065,41.302,0.099,99.51,10.089,298.292,0,0,0.143,0,,0,0.073,0.028,0,1.677,0,0,0.052,,6.839,1지역
대전,2018,0.142,30.82,2.621,0.003,27.414,0.212,102.352,10.033,419.52,0,0,0,0,,0,0.016,0.013,0.079,192.323,0,0,0,,6.962,1지역
대전,2019,0.822,17.315,2.556,0.044,32.466,0.029,106.08,8.989,292.132,0,0,0.013,0,,0,0,0,0.03,56.083,0,0,0.021,0,6.872,1지역
대전,2020,1.229,29.54,2.168,0.003,32.883,0.06,125.472,9.286,277.586,0,0,0.006,0,,0,0,0,0.289,72.4,0.019,0,0.023,0,7.172,1지역
울산,2015,2.021,47.702,4.26,0.086,55.902,0.513,148.876,17.006,232.631,0,0,0.104,0,,0,0,0,0,65.53,0,0,0.055,,6.8,1지역
울산,2016,2.018,37.105,5.822,0.091,47.641,0.139,179.212,13.337,336.744,0,0,0.038,0,0,0.055,0,0,0,86.146,0,0,,,7.371,1지역
울산,2017,2.107,37.71,6.502,0.093,36.734,0.156,154.41,12.086,230.723,0,0,0.004,0,,0.033,0,0,0.111,57.696,0,0,,,7.074,1지역
울산,2018,2.35,43.839,3.02,0.145,47.342,0.078,201.993,18.381,350.758,0,0,0,0,,0,0.004,0.009,0.003,20.914,0,0,0.003,,6.578,1지역
울산,2019,1.457,36.735,4.959,0.075,45.822,0.019,152.856,14.264,227.75,0,0,0,0,,0,0.002,0.011,0,54.841,0,0,0,0,7.963,1지역
울산,2020,1.548,47.931,6.348,0.051,45.016,0.013,156.251,13.27,208.604,0,0,0.047,0,,0,0,0,0,33.283,0,0,0,0,7.105,1지역
세종,2015,1.115,15.46,1.249,0.065,16.087,0,68.533,15.867,187,,,0,,,,,,,,,,,,6.4,1지역
세종,2016,0.447,20.153,5.392,0,15.547,0,79.767,18.213,270,,,0,0,0,0,0,0,0,0,0,0,,,5.78,1지역
세종,2017,0.46,21.294,2.489,0,19.438,0,83.225,24.813,294.286,,,0,0,,0,0,0,0,44.429,0,0,,,6,1지역
