year,capital region,gangwon,chungbuk,chungnam,jenbuk,jeonnam,kyungpook,kyungnam,jeju
1980,10.3,10.55,10,10.6,11.6,12.6,11.4,12.2,15
1981,10.5,10.5,10.2,10.8,11.8,12.9,11.6,12.4,15.4
1982,11.8,11.6,11.3,11.9,12.8,13.7,12.5,13.3,15.8
1983,11.7,11.35,11.2,11.9,12.8,13.7,12.3,13.1,15.8
1984,11,10.7,10.6,11.4,12.3,13.2,11.8,12.7,15.2
1985,11.2,11.25,11,11.7,12.6,13.5,12.2,13,15.8
1986,10.7,10.4,10.4,11,12,13,11.6,12.6,15.2
1987,11.4,11.6,11.2,11.7,12.6,13.5,12.3,13.1,15.9
1988,11.5,11.4,10.9,11.6,12.7,13.5,12,12.9,15.7
1989,12.4,11.95,11.8,12.3,13.3,14.1,12.8,13.5,16.2
1990,12.3,12,11.9,12.5,13.6,14.5,13.1,14,16.8
1991,11.7,11.45,11.1,11.6,12.7,13.7,12.2,13,15.9
1992,11.9,11.6,11.2,11.8,12.9,13.9,12.5,13.2,16.3
1993,11.4,11.05,10.6,11.3,12.2,13.2,11.7,12.5,15.5
1994,12.9,12.5,11.9,12.6,13.6,14.4,13.4,13.9,16.8
1995,11.7,11.3,10.5,11.5,12.6,13.3,12.2,12.8,15.8
1996,11.7,11.05,10.8,11.5,12.5,13.2,12.2,13.1,16
1997,12.2,11.85,11.2,12.1,13.3,14,12.9,13.7,16.6
1998,13.1,12.75,12.3,12.9,14.1,14.7,13.5,14.3,17.3
1999,12.4,12.3,11.8,12.3,13.2,14,12.8,13.4,16.3
2000,12.1,11.85,11.2,11.7,12.8,13.5,12.7,13.4,16.5
2001,12.1,11.8,11.5,12.2,13.2,13.7,12.8,13.5,16.8
2002,12.1,11.8,11.6,12.1,13.3,13.7,12.4,13.5,16.6
2003,12.2,11.55,11.5,12,13,13.6,12.3,13.4,16.6
2004,12.6,12.6,12,12.5,13.7,14.2,13.3,14.2,17.1
2005,11.7,11.6,11.2,11.8,12.8,13.4,12.4,13.3,16.2
2006,12.5,11.95,11.9,12.3,13.7,13.9,12.9,13.7,16.7
2007,12.7,12.55,12,12.6,13.9,14.2,13.3,14.3,17
2008,12.6,12.35,11.7,12.4,13.7,14.1,13,13.7,16.5
2009,12.4,12.25,11.7,12.4,13.5,14.1,13.2,13.9,16.6
2010,11.9,11.85,11.4,12.2,13.3,13.9,12.7,13.5,16.3
2011,11.6,11.5,11.2,11.8,12.9,13.5,12.6,13.4,16.2
2012,11.8,11.5,11.1,11.7,12.9,13.5,12.4,13.2,16.2
2013,11.9,12.2,11.6,12.1,13.5,14.1,13.1,13.9,17
2014,12.8,12.7,11.9,12.6,13.6,14.1,13.1,13.8,16.6
2015,13.1,12.85,12.3,12.9,13.9,14.3,13.4,14.1,16.7
2016,13.2,12.8,12.5,13,14.1,14.7,13.6,14.4,17
2017,12.4,12.45,11.8,12.2,13.3,14.2,13.3,14,16.9
2018,12.4,12.25,11.9,12.3,13.4,14.2,13.2,13.8,16.7
2019,12.9,12.05,12.4,12.9,13.1,14.4,13.5,14.5,16.6
2020,12.6,11.75,12.1,12.8,12.9,14.2,13.1,14.1,16.4
2021,13,11.85,12.5,13.3,13.4,14.8,13.1,14.6,17.2
2022,12.4,11.45,12,12.7,12.8,14.4,13,14.3,16.7
2023,,,,,,,,,
