region,year, BOD,TOC,DO,COD, NO3-N,NH3-N,pH,wt,SS,T-N,T-P,colibacille,t-colibacille,EC,ABS,phenol,Cd,CN,Pb, Cr6+,As,Hg,PO4-P,Chlorophyll_a,DTN,DTP,Sb
낙동강,2015,9.07,4.56,9.54,10.04,1.4922,1.7845,8.51,29.61,11.37,4.2823,0.2777,41117,798932,6966,0,0.1963,40.47,3.9766,0.2431,,,,,,,,
낙동강,2016,7.42,4.64,7.27,8.37,1.69,0.87,8.01,28.61,11.28,4.19,0.22,2135.42,791958.33,360,0,,,,,,,0.13,31.98,3.2,0.16,,
낙동강,2017,7.75,4.32,7.82,7.96,0.92,1.15,7.875,28.692,14.35,3.16,0.249,81585.67,1445725,473.67,,0,,,,,,0.165,14.74,2.394,0.18,,
낙동강,2018,5.94,4.88,7.52,9.8,0.976,1.24,7.94,30.15,10.41,3.114,0.189,27489.37,845338.18,431.91,,,,,,,,,0.127,48.4,2.54,0.15,
낙동강,2019,8.975,5.81,7.65,15.99,1.58,0.63,7.775,27.325,36.43,3.65,0.16,186649.75,5055550.833,318.5,,,,,,,,,0.0865,41,2.36,0.11,
낙동강,2020,2.475,2.6,11.11,5.35,2.4,0.78,7.4,8.52,4.775,3.94,0.13,7308.25,48103.3,393.92,0.09,0,0,0,0,0,0,0,0.07,3.54,3.65,0.098,0.00019
금강,2015,5.796666667,4.43,8.76,10.38,1.652,0.8833333333,7.705,21.99833333,17.205,3.568,0.1596666667,73815.79,1982997.438,381.4433333,0,0,0,0,0,,,,,,,,
금강,2016,5.796666667,4.43,8.76,10.38,1.652,0.8833333333,7.705,21.99833333,17.205,3.568,0.1596666667,73815.79,1982997.438,381.4433333,0,,,,,,,0,0.0945,30.98,2.85,,
금강,2017,1.03,2.8,9.43,3.37,2.71,0.026,7.4,23.07,10.87,3.67,0.049,613.33,8966.67,221,,0,,,,,,0.034,4.37,3.52,0.039,,
금강,2018,1.27,4.06,8.3,4.33,0.53,0.089,8,30.83,5.33,1.029,0.024,1133.3,3813.3,340.3,,0,,,,,,,0.013,8.5,0.948,0.023,
금강,2019,2.03,2.47,7.3,4.77,0.74,0.166,7.53,29,7.47,1.159,0.049,1843.33,11666.67,252.67,,0,,,,,,,0.032,,,,
금강,2020,1.56,1.93,11.93,3.03,1.54,0.287,7.2,5.1,1.73,2,0.035,770,3066.67,336,0,0,0,0,0,0,0,0,0.015,5.67,1.93,0.02,0
만경강,2015,2.337333333,3.138,9.144,5.176,1.4344,0.2902666667,7.567,21.99966667,8.521,2.2852,0.06333333333,15635.15,402102.1495,306.2826667,0,0,0,0,0,,,,,,,,
만경강,2016,2.337333333,3.138,9.144,5.176,1.4344,0.2902666667,7.567,21.99966667,8.521,2.2852,0.06333333333,15635.15,402102.1495,306.2826667,0,,,,,,,0.01133333333,0.9049,12.1675,1.44175,,
만경강,2017,1.8,1.96,8.7,4.08,1.884,0.0618,7.94,26.46,5.5,2.454,0.0416,16960,28200,197.8,,0,,,,,,0.0282,2.26,0.0376,0.0232,,
만경강,2018,1.64,2.3,10.42,3.68,1.093,0.0136,8.06,30.24,5.24,1.3602,0.0714,10220,18500,248.8,,0,,,,,,,0.0596,7.92,1.311,0.0496,
