"楷飞(5技拌鞭)喊(1)",2020,2020,2020,2020,2020,2020
"楷飞(5技拌鞭)喊(1)",牢备 (疙),牢备 巢 (疙),牢备 咯 (疙),备己厚 (%),备己厚 巢 (%),备己厚 咯 (%)
"醚拌",341920,168443,173477,100,100,100
"0~4技",11024,5606,5418,3.22,3.33,3.12
"5~9技",14169,7261,6908,4.14,4.31,3.98
"10~14技",12907,6699,6208,3.77,3.98,3.58
"15~19技",13659,7231,6428,3.99,4.29,3.71
"20~24技",19381,10315,9066,5.67,6.12,5.23
"25~29技",22303,11992,10311,6.52,7.12,5.94
"30~34技",20200,10934,9266,5.91,6.49,5.34
"35~39技",23621,12179,11442,6.91,7.23,6.6
"40~44技",24693,12751,11942,7.22,7.57,6.88
"45~49技",26717,13736,12981,7.81,8.15,7.48
"50~54技",27982,13826,14156,8.18,8.21,8.16
"55~59技",29016,13850,15166,8.49,8.22,8.74
"60~64技",28809,13555,15254,8.43,8.05,8.79
"65~69技",22609,10329,12280,6.61,6.13,7.08
"70~74技",17040,7654,9386,4.98,4.54,5.41
"75~79技",13171,5509,7662,3.85,3.27,4.42
"80~84技",8827,3316,5511,2.28,1.97,3.18
"85技 捞惑",5792,1700,4092,1.69,0.99,2.35
