순위,등록번호,서명,저자,발행자,청구기호,대출횟수
1,BAW000489709,흔한남매. 6,백난도 지음 ; 흔한남매 원작 ; 유난희 그림,Mirea N 아이세움,J 813.8-백211ㅎ-6,13
2,BAW000494206,"쿠키런 어드벤처. 30, 평양",송도수 글 ; 서정은 그림,서울문화사,J 980.24-송225-30=2,13
3,BAW000498642,(코믹 메이플스토리) 수학도둑 : 종합편. 79,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,J 410-송225ㅅ-79=2,13
4,BAW000510108,딸랑예술학교. 1,방울이TV 원작 ; 김언정 글 ; 김영진 그림,학산문화사,J 813.8-방67ㄸ-1,13
5,BAW000509995,강성태의 저절로 영단어. 2,엄지희 글 ; 강신영 그림,아이세움,J 744-엄79ㄱ-2,12
6,BAW000511929,"(엽기 과학자) 프래니. 9, 재앙을 부르는 악마의 머핀",짐 벤튼 글·그림 ; 양윤선 옮김,이퍼블릭,J 843-벤838ㅍ-9,12
7,BAW000496393,흔한남매. 7,원작: 흔한남매 ; 글: 백난도 ; 그림: 유난희,미래엔(아이세움),J 813.8-백211ㅎ-7,12
8,BAW000501895,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 44, 별난 지구",송도수 글 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-44,12
9,BAW000505682,"(신비아파트) 한자 귀신. 17, 부서진 결계",김강현 글 ; 김기수 그림,서울문화사,J 711.4-오51ㅅ-17,12
10,BAW000485346,흔한남매. 1,흔한남매 원작 ; 백난도 글 ; 유난희 그림,미래엔 ,J 813.8-백211ㅎ-1=2,12
11,BAW000485359,"Go Go 카카오 프렌즈 : 세계 역사 문화 체험 학습만화. 6, 이탈리아",김미영 글 ; 김정한 그림,북이십일,J 909-김39ㄱ-6=3,11
12,BAW000485356,"Go Go 카카오프렌즈. 3, 일본",김미영 글 ; 김정한 그림,북이시빌 아울북,J 909-김39ㄱ-3=2,11
13,BAW000480729,"(신비아파트)한자귀신 : 오싹 공포 한자 학습 만화. 8, 혼돈의 도시",김강현 글 ; 김기수 그림,서울문화사,J 711.4-오51ㅅ-8,11
14,BAW000475907,레이튼 미스터리 탐정사무소 : 카트리에일의 수수께끼 파일. 6,글: 안치현 ; 그림: 팀키즈,Mirae N 아이세움,J 813.8-안819ㄹ-6,11
15,BAW000514334,신기한 학교 매점,이미현 글 ; 김미연 그림,잇츠북어린이,J 813.8-이39ㅅ,11
16,BAW000457575,"Go Go 카카오프렌즈 . 4  : 세계 역사 문화 체험 학습만화, 미국",김미영 글 ; 김정한 그림,아울북,J 909-김39ㄱ-4,11
17,BAW000501858,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 7, 비엔나",송도수 글 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-7=3,11
18,BAW000504388,에그박사 : 자연 생물 관찰 만화. 4,에그박사 원작 ; 박송이 글 ; 홍종현 그림,Mirae N 아이세움,J 495-에18-4,11
19,BAW000504522,"밍꼬발랄 코믹스. 10, 두 개의 표식",밍꼬발랄 원작 ; 김혜련 지음 ; 라임스튜디오 그림,겜툰,J 813.8-밍15ㅁ-10,11
20,BAW000504523,"밍꼬발랄 코믹스. 2, 표식을 따라가다",밍꼬발랄 원작 ; 김혜련 지음 ; 라임스튜디오 그림,겜툰,J 813.8-밍15ㅁ-2,11
21,BAW000504525,"밍꼬발랄 코믹스. 4, 표식을 둘러싼 의문",밍꼬발랄 원작 ; 김혜련 지음 ; 라임스튜디오 그림,겜툰,J 813.8-밍15ㅁ-4,11
22,BAW000505662,"(코믹 메이플스토리) 수학도둑. 82, 응용편",동암 송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,J 410-송225ㅅ-82,11
23,BAW000504526,"밍꼬발랄 코믹스. 5, 이 세상에 적응하다",밍꼬발랄 원작 ; 김혜련 지음 ; 라임스튜디오 그림,겜툰,J 813.8-밍15ㅁ-5,11
24,BAW000503428,"(Go Go) 카카오프렌즈. 20, 한국3",김미영 글 ; 김정한 그림,아울북,J 909-김39ㄱ-20,11
25,BAW000504528,"밍꼬발랄 코믹스. 7, 비밀의 책과 열쇠",밍꼬발랄 원작 ; 김혜련 지음 ; 라임스튜디오 그림,겜툰,J 813.8-밍15ㅁ-7,11
26,BAW000503146,"(신비아파트) 한자 귀신. 11, 악귀의 노래",김강현 글 ; 김기수 그림,서울문화사,J 711.4-오51ㅅ-11,11
27,BAW000503410,파뿌리24. 2,파뿌리 원작 ; 백승하 글 ; 이정태 그림,겜툰,J 813.8-백58ㅍ-2,11
28,BAW000510221,"보니하니 미스터리 월드투어 : 세계역사문화 학습만화. 2, 프랑스",글: 김정욱 ; 그림: 김기수,EBS Books,J 980-보219-2,11
29,BAW000511417,흔한남매의 흔한 호기심 : 일상에서 만나는 과학 상식. 3,원작: 흔한남매 ; 글: 안치현 ; 그림: 유난희,Mirae N 아이세움,J 400-흔91-3=2,11
30,BAW000510096,말이야와 친구들. 4,말이야와 친구들 원작 ; 김정욱 글 ; 이혜림 그림,주니어김영사,J 813.8-말69-4,11
31,BAW000508619,승리의 승리,강민경 글 ; 조예선 그림,좋은책신사고,J 813.8-강39ㅅ,11
32,BAW000508623,신기하고 특이하고 이상한 능력자,최형미 글 ; 김현영 그림,그레이트북스,J 813.8-최94ㅅ=2,11
33,BAW000506648,"브레드 이발소 시즌2. 4, 베이커리타운 대소동",몬스터스튜디오 원작 ; 임광천 구성,형설아이,J 813.8-몬58ㅂ-2-4,11
34,BAW000506711,"흔한남매 과학 탐험대. 3, 인체","원작: 흔한남매 ; 글: 이재국,이현진 ; 그림: 김덕영",주니어김영사,J 400-흔91-3,11
35,BAW000508714,초코빅 : 초등 코믹스 빅리그. 2,박동명 [외]글·그림,Mirae N 아이세움,J 813.8-초825-2,10
