브랜드,이름,성별,TPO,계절감,향의농도,특성,,,,0,,딥디크,1,,,성별,,,,,
1,롬브로단로EDP,중성,"캐쥬얼,포멀",사계절,무거운,"플로럴,그린,우디,얼씨,프루티",,,,1,,조말론,2,,남자1,여자2,중성3,,,,
1,필로시코스EDP,여성,캐쥬얼,"봄,여름",가벼운,"그린,프레쉬,우디,얼씨,프루티",,,,2,,바이레도,3,,,,,,,,
1,베티베리오EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,시트러스,얼씨,그린,플로럴",,,,3,,이솝,4,,,TPO,,,,,
1,도손EDP,중성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"프레쉬,파우더리,머스크,그린,플로럴",,,,4,,톰포드,5,,캐쥬얼1,포멀2,"캐쥬얼,포멀3",,,,
1,도손EDT,여성,캐쥬얼,사계절,중간,"프레쉬,파우더리,머스크,그린,플로럴",,,,5,,프레데릭말,6,,,,,,,,
1,탐다오EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,파우더리,머스크,그린,스파이시",,,,6,,퍼퓸드말리,7,,,,,,,,
1,생제르망34번가EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,파우더리,스파이시,플로럴,앰버",,,,7,,조보이,8,,,,,,,,
2,라임바질앤만다린EDC,여성,캐쥬얼,"봄,여름",가벼운,"프레쉬,시트러스,그린,우디,얼씨",,,,8,,제로보암,9,,"'봄,여름': 1",,,계절감,,,
2,벨벳로즈앤오우드EDC,중성,포멀,"가을,겨울",무거운,"우디,플로럴,스파이시,파우더리,앰버",,,,9,,오케스트라퍼퓸,10,,,"'봄,가을': 2",,,,,
2,우드세이지앤씨솔트EDC,중성,캐쥬얼,"봄,여름",가벼운,"아로마틱,마린,시트러스,머스크,워터리",,,,10,,이니시오,11,,,,"'봄,여름,가을': 3",,,,
2,피오니앤블러쉬EDC,여성,캐쥬얼,"봄,여름",가벼운,"플로럴,로즈,프레쉬,레더,프루티",,,,11,,메모,12,,,,,"'봄,가을,겨울':4",,,
3,발다프리크EDP,중성,캐쥬얼,"봄,여름,가을",중간,"시트러스,우디,플로럴,스파이시,프루티",,,,12,,알마프,13,,,,,,"'여름,가을,겨울':5",,
3,블랙샤프란EDP,중성,포멀,"봄,가을,겨울",무거운,"프루티,레더,우디,스파이시,파우더리",,,,13,,아프난,14,,,,,,,"'가을,겨울':6",
3,모하비고스트EDP,중성,캐쥬얼,"봄,여름,가을",무거운,"플로럴,우디,파우더리,프루티,앰버",,,,14,,크리드,15,,,,,,,,'사계절':7
4,휠EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,그린,스파이시,앰버,얼씨",,,,15,,나소마토,16,,,,향의농도,,,,
4,테싯EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,그린,스파이시,프레쉬",,,,16,,산타마리아노벨라,17,,,가벼운1,무거운2,중간3,,,
4,이더시스EDP,중성,캐쥬얼,"가을,겨울",무거운,"우디,스파이시,파우더리,그린,얼씨",,,,17,,디올,18,,,,,,,,
4,마라케시EDP,남성,캐쥬얼,"가을,겨울",중간,"우디,스파이시,아로마틱,그린,얼씨",,,,18,,샤넬,19,,,,,,,,
5,블랙오키드EDP,중성,포멀,"가을,겨울",무거운,"우디,스파이시,얼씨,앰버,프랄린",,,,19,,자라,20,,,,,,,,
5,느와드느와EDP,중성,포멀,"가을,겨울",무거운,"우디,플로럴,스파이시,얼씨,스모키",,,,20,,에따리브르도랑쥬,21,,특성1,특성2,특성3,특성4,특성5,특성6,특성7
5,토바코바닐EDP,남성,포멀,"가을,겨울",무거운,"우디,타바코,바닐라,스파이시,우디",,,,21,,모스키노,22,,플로럴,그린,우디,얼씨,프루티,프레쉬,시트러스
5,퍼킹패뷸러스EDP,중성,포멀,"봄,가을,겨울",무거운,"우디,레더,바닐라,앰버,라벤더",,,,22,,아이젠버그,23,,꽃향기,풀내음,나무내음,신선한 흙내음,과일향,"신선한 향, 깨끗한 향",상큼한향
5,그레이 베티버EDP,남성,캐쥬얼,"봄,여름",중간,"우디,시트러스,얼씨,스파이시,그린",,,,23,,메종마르지엘라,24,,,,,,,,
5,투스칸레더EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,레더,프루티,스모키,스파이시",,,,24,,밀러해리스,25,,,,,,,,
5,오드우드EDP,남성,포멀,"가을,겨울",무거운,"우디,스파이시,아로마틱,바닐라,앰버",,,,25,,아쿠아디파르마,26,,특성8,특성9,특성10,특성11,특성12,특성13,특성14
6,로디베EDT,여성,캐쥬얼,"봄,가을,겨울",가벼운,"파우더리,머스크,바닐라,앰버,플로럴",,,,26,,쇼파드,27,,머스크,파우더리,민트,부지,마린,코코넛,스파이시
6,뮤스크라바줴EDP,남성,포멀,"가을,겨울",무거운,"바닐라,스모키,우디,파우더리,스파이시",,,,27,,르라보,28,,포근한향,화장품 파우더,청량한 민트향,술향,시원한 바다향,코코넛향,코끝이 살짝 매운
6,무슈EDP,남성,포멀,"가을,겨울",무거운,"얼씨,스모키,우디,앰버,파우더리",,,,28,,티지아나테렌지,29,,,,,,,,
6,로즈토네르EDP,여성,포멀,사계절,가벼운,"로즈,프레쉬,프루티,스파이시,그린",,,,29,,메종프란시스커정,30,,,,,,,,
6,윈플레르드까시EDP,여성,캐쥬얼,"가을,겨울",무거운,"파우더리,플로럴,우디,스파이시,그린",,,,30,,메종크리벨리,31,,특성15,특성16,특성17,특성18,특성19,특성20,특성21
6,포트레이트오브어레이디EDP,여성,포멀,"가을,겨울",무거운,"스파이시,앰버,스모키,로즈,우디",,,,31,,킬리안,32,,앰버,레더,아로마틱,로즈,스모키,타바코,바닐라
