성별(1),시점,19-29세,30-39세,40-49세,50-59세,60-69세,70세이상
0,2011,274,418,432,487,437,368
0,2012,237,368,389,421,412,342
0,2013,295,366,426,388,364,246
0,2014,212,336,324,364,359,282
0,2015,300,265,354,436,407,325
0,2016,289,439,478,438,422,408
0,2017,326,394,481,519,449,415
0,2018,343,401,457,482,476,422
0,2019,367,402,477,468,461,448
0,2020,381,325,406,465,461,478
1,2011,372,628,576,647,531,496
1,2012,352,537,526,602,531,474
1,2013,354,508,546,571,429,328
1,2014,314,460,471,529,449,359
1,2015,313,391,500,581,470,417
1,2016,362,590,600,607,523,523
1,2017,357,471,613,634,579,518
1,2018,373,458,635,660,570,576
1,2019,350,464,612,668,608,589
1,2020,383,409,530,560,607,607
