"시점",농산물
"시점",전국
"2020.01",96.43
"2020.02",94.97
"2020.03",96.37
"2020.04",94.17
"2020.05",93.46
"2020.06",92.53
"2020.07",95.55
"2020.08",104.79
"2020.09",114.73
"2020.10",113.32
"2020.11",101.81
"2020.12",101.87
"2021.01",107.46
"2021.02",114.47
"2021.03",113.94
"2021.04",110.80
"2021.05",107.39
"2021.06",103.58
"2021.07",103.58
"2021.08",107.10
"2021.09",111.43
"2021.10",105.79
"2021.11",106.86
"2021.12",107.38
"2022.01",112.39
"2022.02",111.82
"2022.03",109.64
"2022.04",109.20
"2022.05",106.73
"2022.06",105.26
"2022.07",112.37
"2022.08",118.21
"2022.09",121.09
"2022.10",113.46
"2022.11",104.71
"2022.12",105.62
"2023.01",112.15
