"시점",쌀 (2015=100),보리쌀 (2015=100),콩 (2015=100),감자 (2015=100),고구마 (2015=100),배추 (2015=100),시금치 (2015=100),상추 (2015=100),부추 (2015=100),수박 (2015=100),참외 (2015=100),오이 (2015=100),호박 (2015=100),토마토 (2015=100),딸기 (2015=100),파프리카 (2015=100),무 (2015=100),풋고추 (2015=100),건고추 (2015=100),마늘 (2015=100),파 (2015=100),양파 (2015=100),생강 (2017.12=100),버섯 (2015=100),피망 (2015=100),사과 (2015=100),배 (2015=100),복숭아 (2015=100),포도 (2015=100),감귤 (2015=100),감 (2015=100),인삼 (2015=100),참깨 (2015=100),들깨 (2015=100)
"2020.01",120.22,67.35,129.88,73.59,88.30,193.45,65.26,138.04,209.00,147.93,88.73,182.24,157.53,166.91,220.85,182.03,240.06,151.34,111.59,78.74,76.75,88.82,146.78,118.44,181.63,56.66,105.99,124.17,115.87,78.97,156.35,97.21,90.28,107.58
"2020.02",120.08,67.35,129.88,73.08,93.76,180.49,63.32,54.44,169.78,156.72,88.73,153.38,151.74,171.74,141.49,183.77,117.66,194.34,110.22,75.51,62.08,105.52,148.52,86.86,242.92,56.11,109.14,124.17,115.87,80.28,163.66,91.21,90.71,107.01
"2020.03",119.87,67.35,129.88,78.16,122.98,171.96,74.23,56.14,118.78,148.32,247.64,108.24,122.22,194.26,116.20,170.88,96.77,132.24,110.51,74.71,49.87,110.56,193.62,88.75,115.36,57.55,115.67,124.17,115.87,80.28,201.71,95.81,92.00,108.52
"2020.04",119.99,67.35,130.22,148.04,143.64,192.29,71.92,50.83,104.80,139.31,186.19,66.71,62.78,171.63,122.78,122.40,98.03,103.09,111.23,74.88,65.98,109.35,192.93,92.84,59.65,60.35,119.50,124.17,115.87,80.28,201.71,94.39,93.82,108.99
"2020.05",120.06,67.35,130.74,149.62,187.28,256.32,69.82,65.90,77.54,132.20,135.93,56.95,67.86,100.61,109.94,81.20,92.82,90.21,111.40,77.96,88.67,95.44,203.05,102.44,65.21,86.20,136.72,124.17,115.87,80.28,201.71,91.21,96.10,110.35
"2020.06",120.70,67.35,132.43,94.25,205.16,173.08,106.95,98.37,63.33,135.23,140.22,67.26,66.03,85.13,109.94,74.46,130.86,102.66,114.83,76.68,99.79,71.37,231.32,95.85,100.84,94.41,139.96,124.17,115.87,80.28,201.71,99.88,96.99,111.45
"2020.07",120.96,67.35,132.99,82.15,215.72,209.85,153.00,163.60,40.99,145.21,93.41,92.01,88.26,112.21,109.94,82.89,140.79,111.58,115.85,89.08,110.57,79.99,236.64,83.44,73.90,104.77,138.84,146.87,177.68,80.28,201.71,100.75,98.37,112.15
"2020.08",121.15,67.35,132.50,110.43,192.70,379.61,301.47,281.90,215.93,163.41,179.91,165.74,240.60,137.56,109.94,159.88,195.17,121.24,149.29,101.93,168.78,103.21,228.57,73.72,115.42,128.40,137.55,113.11,152.09,80.28,201.71,96.12,102.15,114.18
"2020.09",121.89,67.35,134.74,116.11,133.33,495.31,336.13,165.43,102.68,159.37,219.98,180.30,170.21,204.48,109.94,260.72,282.39,228.68,224.78,102.07,165.89,118.06,155.04,89.41,287.87,128.40,169.17,113.11,137.04,80.28,201.71,78.48,124.54,123.91
"2020.10",136.50,67.35,136.48,112.97,123.18,208.13,84.17,58.02,113.19,60.80,219.98,61.59,61.63,213.68,109.94,177.96,177.34,138.66,215.11,102.04,160.36,121.67,102.22,82.11,152.57,83.97,158.83,113.11,138.29,91.81,193.46,75.99,142.45,134.24
"2020.11",136.60,67.35,146.27,119.96,125.82,111.69,65.84,52.87,198.58,63.09,219.98,75.25,69.13,150.15,109.94,111.19,110.43,106.06,216.19,102.04,162.86,130.75,115.55,75.17,81.54,80.17,168.73,113.11,138.29,88.56,174.47,80.25,153.11,141.51
