"시점",전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국
"시점",쌀,현미,찹쌀,보리쌀,콩,땅콩,혼식곡,배추,상추,시금치,양배추,미나리,깻잎,부추,무,열무,당근,감자,고구마,도라지,콩나물,버섯,오이,풋고추,호박,가지,토마토,파,양파,마늘,브로콜리,고사리,파프리카,생강,사과,배,복숭아,포도,밤,감,귤,오렌지,참외,수박,딸기,바나나,키위,블루베리,망고,체리,아보카도,파인애플,아몬드,고춧가루,참깨,인삼
"2020.01",97.65,100.48,100.93,103.49,102.98,97.46,101.13,88.32,115.40,76.42,97.48,126.43,122.20,140.30,138.77,124.24,100.70,90.35,74.55,100.85,99.30,110.01,133.97,104.76,120.90,135.22,103.25,85.85,79.78,89.37,100.85,98.37,106.43,87.38,79.19,90.29,84.14,86.65,89.71,91.08,68.39,109.69,73.13,82.76,142.52,94.40,95.72,96.03,93.88,92.55,106.39,101.04,101.38,90.55,95.88,100.83
"2020.02",97.52,99.43,100.30,103.40,99.99,97.25,100.76,86.45,90.46,72.16,97.16,120.13,104.62,140.02,95.40,119.94,95.47,98.99,73.68,101.38,100.00,100.79,135.87,125.98,124.74,124.76,100.64,71.54,85.65,88.46,79.13,98.75,120.35,89.42,81.93,89.57,83.82,96.71,91.78,93.62,79.93,109.24,73.71,82.45,114.28,97.96,96.82,97.62,88.54,90.67,106.12,98.11,101.82,90.79,99.82,100.87
"2020.03",97.28,99.94,100.58,102.82,99.87,97.83,100.18,88.16,81.31,70.32,100.97,97.24,94.14,101.80,74.65,102.40,94.20,113.80,81.19,101.24,100.79,99.66,118.65,122.69,129.40,117.84,105.50,63.98,113.13,87.99,80.21,98.77,117.77,99.16,81.24,90.55,85.43,94.21,94.66,101.49,105.45,106.16,129.08,84.07,91.47,99.79,99.41,97.90,87.90,92.49,108.43,96.75,101.81,91.17,100.00,100.52
"2020.04",97.09,100.23,99.86,102.01,99.31,98.21,100.30,84.61,73.41,68.64,115.16,82.56,87.12,90.13,69.93,85.01,111.00,121.86,89.29,100.43,100.52,93.94,82.87,92.94,76.37,93.97,100.70,59.62,111.43,87.05,89.70,98.67,97.25,103.23,83.91,92.07,87.80,88.09,98.67,104.71,108.23,99.28,145.51,86.39,88.32,103.36,95.74,99.68,89.66,94.98,124.17,102.06,100.77,91.02,100.00,100.62
"2020.05",96.91,99.81,99.09,98.86,98.09,98.38,100.06,90.99,71.78,66.76,117.10,76.84,84.72,80.34,68.21,75.43,101.51,122.09,106.82,99.84,100.17,95.03,67.44,82.01,64.03,79.93,79.93,72.67,102.25,88.73,95.19,99.21,81.47,104.89,90.73,92.93,85.88,87.93,101.76,104.72,105.73,93.41,111.04,116.80,85.83,105.44,98.85,100.93,89.13,92.87,126.75,97.58,100.85,90.84,100.23,100.08
"2020.06",97.19,99.41,99.08,99.44,97.15,99.83,100.05,86.28,81.18,78.47,76.04,69.95,81.20,67.70,75.55,83.63,90.91,100.90,120.03,99.02,100.88,95.75,69.99,78.77,70.49,74.63,66.47,85.70,95.40,88.54,79.45,99.74,71.14,114.10,97.24,94.19,84.80,89.53,104.86,104.72,104.39,94.76,102.80,103.06,84.76,100.24,99.53,100.63,93.57,107.52,107.43,95.77,100.50,91.04,100.60,100.45
"2020.07",97.14,98.98,97.71,98.60,97.15,100.18,99.13,92.97,111.30,113.60,67.33,69.28,82.22,58.27,93.47,84.94,90.02,83.51,123.63,99.09,100.22,94.95,85.33,88.12,74.73,71.64,72.26,88.60,88.50,91.76,87.20,99.96,68.22,120.06,104.89,96.12,113.18,112.03,107.80,104.72,104.30,94.71,81.42,106.80,84.72,98.32,98.74,100.11,102.36,97.32,99.78,100.50,99.46,91.40,100.93,101.25
"2020.08",97.73,98.85,97.58,98.13,97.39,100.63,99.42,128.16,176.77,167.84,82.31,97.67,127.81,98.56,104.23,131.28,93.74,84.16,136.30,99.54,99.86,99.02,108.39,93.50,153.39,100.61,92.93,121.65,91.30,107.90,112.87,100.64,88.33,124.67,108.33,97.51,102.86,116.94,109.60,104.72,105.83,96.12,93.01,104.92,85.97,97.81,100.92,100.30,102.88,96.91,89.79,96.87,99.52,96.10,101.01,101.53
"2020.09",100.14,97.92,98.53,98.52,97.81,100.94,98.00,180.29,142.79,212.54,113.63,117.27,134.97,108.27,162.66,143.56,110.92,91.91,108.69,99.61,99.66,105.12,135.55,118.55,141.66,118.75,118.22,137.56,100.51,115.78,147.00,100.91,124.88,119.26,121.66,104.21,124.25,117.81,107.63,106.16,114.97,104.34,101.97,113.88,93.36,102.38,101.98,100.34,112.40,105.19,82.66,104.65,98.75,109.57,99.82,100.55
"2020.10",103.86,99.40,99.99,98.32,98.51,101.71,99.05,151.16,98.16,115.70,130.53,104.46,107.41,82.71,143.09,95.58,127.46,94.78,97.43,99.74,99.56,108.12,91.98,124.88,88.19,87.61,145.57,145.65,107.03,118.53,135.35,101.15,143.59,87.27,123.98,114.96,125.82,115.40,98.09,101.37,132.70,105.69,103.28,115.34,94.55,103.99,104.09,102.41,115.97,106.56,84.56,105.87,97.78,115.98,100.24,99.03
